n,a,b,ab,z proportion below,M proportion below,jackknife proportion below,percentile boot proportion below,bias-corrected boot proportion below,boot-t proportion below,boot-Q proportion below,Monte Carlo proportion below,z proportion above,M proportion above,jackknife proportion above,percentile boot proportion above,bias-corrected boot proportion above,boot-t proportion above,boot-Q proportion above,Monte Carlo proportion above
25,0,0,0,0,0.006,0.003,0.005,0.011,0.014,0.014,0.003,0.001,0.006,0.002,0.004,0.017,0.015,0.015,0.004
25,0,0.14,0,0.004,0.012,0.005,0.009,0.02,0.018,0.018,0.007,0,0.006,0.003,0.006,0.016,0.019,0.019,0.003
25,0,0.39,0,0.016,0.045,0.02,0.042,0.064,0.063,0.063,0.033,0.009,0.034,0.013,0.023,0.058,0.054,0.054,0.023
25,0,0.59,0,0.023,0.041,0.022,0.036,0.055,0.057,0.057,0.037,0.026,0.054,0.026,0.047,0.078,0.079,0.079,0.046
25,0.14,0.14,0.0196,0.007,0.015,0.009,0.013,0.016,0.024,0.024,0.011,0.029,0.045,0.021,0.009,0.07,0.159,0.159,0.012
25,0.39,0.39,0.1521,0.01,0.019,0.018,0.022,0.031,0.036,0.036,0.016,0.132,0.12,0.124,0.105,0.078,0.143,0.143,0.089
25,0.59,0.59,0.3481,0.022,0.035,0.019,0.033,0.043,0.043,0.043,0.032,0.109,0.089,0.117,0.102,0.062,0.082,0.082,0.078
25,0.14,0.39,0.0546,0.014,0.025,0.016,0.021,0.036,0.038,0.038,0.022,0.082,0.129,0.087,0.067,0.123,0.192,0.192,0.05
25,0.14,0.59,0.0826,0.019,0.031,0.02,0.031,0.045,0.062,0.062,0.025,0.071,0.098,0.064,0.082,0.117,0.146,0.146,0.065
25,0.39,0.59,0.2301,0.027,0.041,0.039,0.046,0.066,0.066,0.066,0.035,0.126,0.104,0.127,0.111,0.069,0.114,0.114,0.09
50,0,0,0,0.002,0.004,0.003,0.003,0.013,0.012,0.012,0.003,0.001,0.006,0.001,0.006,0.014,0.011,0.011,0.005
50,0,0.14,0,0.001,0.013,0.003,0.006,0.024,0.022,0.022,0.007,0.007,0.015,0.007,0.015,0.028,0.028,0.028,0.009
50,0,0.39,0,0.02,0.047,0.023,0.049,0.077,0.071,0.071,0.037,0.022,0.047,0.024,0.045,0.075,0.068,0.068,0.036
50,0,0.59,0,0.031,0.059,0.039,0.059,0.076,0.083,0.083,0.052,0.038,0.056,0.033,0.055,0.076,0.075,0.075,0.05
50,0.14,0.14,0.0196,0.002,0.012,0.004,0.016,0.026,0.027,0.027,0.008,0.068,0.121,0.065,0.033,0.108,0.223,0.223,0.017
50,0.39,0.39,0.1521,0.009,0.018,0.014,0.022,0.033,0.032,0.032,0.017,0.123,0.098,0.114,0.093,0.059,0.077,0.077,0.084
50,0.59,0.59,0.3481,0.031,0.039,0.033,0.046,0.055,0.06,0.06,0.035,0.099,0.082,0.093,0.076,0.055,0.058,0.058,0.074
50,0.14,0.39,0.0546,0.012,0.027,0.014,0.024,0.04,0.038,0.038,0.022,0.095,0.106,0.092,0.093,0.097,0.14,0.14,0.085
50,0.14,0.59,0.0826,0.034,0.053,0.039,0.055,0.067,0.071,0.071,0.046,0.078,0.082,0.082,0.086,0.09,0.116,0.116,0.067
50,0.39,0.59,0.2301,0.025,0.032,0.026,0.036,0.049,0.053,0.053,0.03,0.085,0.069,0.079,0.071,0.055,0.058,0.058,0.064
100,0,0,0,0,0.006,0,0.005,0.023,0.016,0.016,0,0.002,0.008,0.002,0.004,0.014,0.015,0.015,0.003
100,0,0.14,0,0.006,0.02,0.007,0.015,0.029,0.027,0.027,0.014,0.003,0.026,0.008,0.021,0.041,0.043,0.043,0.017
100,0,0.39,0,0.038,0.051,0.035,0.055,0.075,0.072,0.072,0.046,0.029,0.054,0.029,0.052,0.079,0.078,0.078,0.044
100,0,0.59,0,0.04,0.051,0.036,0.048,0.061,0.063,0.063,0.046,0.047,0.055,0.047,0.055,0.069,0.076,0.076,0.053
100,0.14,0.14,0.0196,0.007,0.025,0.011,0.023,0.041,0.041,0.041,0.017,0.144,0.142,0.143,0.094,0.106,0.211,0.211,0.074
100,0.39,0.39,0.1521,0.024,0.036,0.022,0.03,0.047,0.049,0.049,0.032,0.083,0.064,0.078,0.063,0.046,0.05,0.05,0.061
100,0.59,0.59,0.3481,0.04,0.046,0.04,0.051,0.057,0.056,0.056,0.043,0.077,0.064,0.074,0.066,0.054,0.051,0.051,0.065
100,0.14,0.39,0.0546,0.021,0.036,0.021,0.035,0.049,0.049,0.049,0.03,0.1,0.099,0.103,0.092,0.079,0.122,0.122,0.089
100,0.14,0.59,0.0826,0.021,0.032,0.02,0.032,0.04,0.049,0.049,0.028,0.068,0.068,0.066,0.074,0.068,0.074,0.074,0.061
100,0.39,0.59,0.2301,0.038,0.05,0.037,0.052,0.06,0.062,0.062,0.05,0.083,0.073,0.082,0.071,0.055,0.054,0.054,0.068
200,0,0,0,0,0.004,0,0,0.01,0.007,0.007,0.002,0.001,0.005,0,0.003,0.014,0.011,0.011,0.003
200,0,0.14,0,0.012,0.028,0.011,0.025,0.048,0.039,0.039,0.023,0.007,0.039,0.011,0.029,0.055,0.055,0.055,0.029
200,0,0.39,0,0.043,0.063,0.049,0.062,0.073,0.075,0.075,0.057,0.041,0.047,0.045,0.044,0.056,0.057,0.057,0.044
200,0,0.59,0,0.059,0.062,0.059,0.058,0.065,0.065,0.065,0.06,0.04,0.042,0.037,0.045,0.052,0.052,0.052,0.044
200,0.14,0.14,0.0196,0.014,0.028,0.013,0.024,0.042,0.04,0.04,0.026,0.125,0.113,0.126,0.082,0.053,0.134,0.134,0.078
200,0.39,0.39,0.1521,0.038,0.049,0.034,0.048,0.059,0.06,0.06,0.046,0.064,0.052,0.08,0.057,0.04,0.04,0.04,0.053
200,0.59,0.59,0.3481,0.038,0.046,0.039,0.044,0.053,0.056,0.056,0.045,0.073,0.063,0.071,0.062,0.055,0.053,0.053,0.061
200,0.14,0.39,0.0546,0.021,0.029,0.022,0.029,0.039,0.039,0.039,0.025,0.077,0.075,0.087,0.074,0.067,0.078,0.078,0.072
200,0.14,0.59,0.0826,0.028,0.037,0.034,0.036,0.046,0.046,0.046,0.036,0.052,0.049,0.052,0.052,0.049,0.056,0.056,0.049
200,0.39,0.59,0.2301,0.032,0.042,0.034,0.042,0.049,0.051,0.051,0.04,0.073,0.06,0.07,0.063,0.054,0.054,0.054,0.06
