n,a,b,average sample a,average sample b,empirical standard error of sample a,empirical standard error of sample b,average sample std error of a,average sample std error of b,Time Run
1000,0.59,0,0.590479245,0.000234287,0.031451477,0.031562267,0.031646164,0.031663096,
1000,0,0.14,1.67E-05,0.140323429,0.031631905,0.031822197,0.031649529,0.03166312,
1000,0,0.39,0.000129377,0.389517806,0.03167201,0.031827812,0.031650391,0.031666586,
1000,0,0.59,0.000571095,0.513207348,0.031912926,0.09158007,0.031546111,0.0318667,
1000,0.14,0.14,0.140587819,0.139637277,0.031652257,0.031637683,0.031656203,0.03166307,
1000,0.14,0.39,0.140264049,0.390003726,0.031755795,0.031860133,0.031662467,0.03166126,
1000,0.14,0.59,0.139731979,0.513038962,0.031414697,0.0918037,0.031550059,0.031850781,
1000,0.39,0.14,0.390741183,0.140670249,0.031639078,0.031839592,0.031661461,0.031675662,
1000,0.39,0.39,0.390010163,0.390200835,0.031846144,0.031961921,0.03165742,0.031669677,
1000,0.39,0.59,0.389890279,0.515482167,0.031570039,0.090660464,0.031539379,0.031881151,
1000,0.59,0.14,0.590007437,0.140039543,0.0320059,0.031345811,0.031658938,0.031673172,
1000,0.59,0.39,0.590039336,0.390809892,0.031601307,0.032077938,0.031650678,0.031669231,
1000,0.59,0.59,0.59067183,0.513891196,0.031274547,0.091017378,0.031559855,0.031863258,
