n,a,b,ab,z proportion below,M proportion below,jackknife proportion below,percentile boot proportion below,bias-corrected boot proportion below,boot-t proportion below,boot-Q proportion below,Monte Carlo proportion below,z proportion above,M proportion above,jackknife proportion above,percentile boot proportion above,bias-corrected boot proportion above,boot-t proportion above,boot-Q proportion above,Monte Carlo proportion above
25,0,0,0,0,0.001,0,0.003,0.006,0.006,0.006,0.001,0,0.001,0.001,0.001,0.006,0.005,0.005,0.001
25,0,0.14,0,0.001,0.005,0.004,0.004,0.008,0.006,0.006,0.004,0,0.002,0,0.002,0.004,0.005,0.005,0
25,0,0.39,0,0.001,0.021,0.007,0.021,0.033,0.031,0.031,0.015,0.002,0.015,0.003,0.009,0.023,0.028,0.028,0.01
25,0,0.59,0,0.005,0.025,0.008,0.017,0.031,0.033,0.033,0.018,0.007,0.033,0.014,0.023,0.037,0.041,0.041,0.025
25,0.14,0.14,0.0196,0.002,0.008,0.005,0.006,0.013,0.016,0.016,0.006,0.019,0.02,0.01,0.004,0.016,0.081,0.081,0.001
25,0.39,0.39,0.1521,0.003,0.007,0.006,0.013,0.02,0.019,0.019,0.007,0.092,0.077,0.089,0.047,0.045,0.12,0.12,0.047
25,0.59,0.59,0.3481,0.009,0.018,0.01,0.015,0.024,0.023,0.023,0.013,0.07,0.049,0.081,0.054,0.033,0.056,0.056,0.038
25,0.14,0.39,0.0546,0.005,0.014,0.007,0.01,0.016,0.023,0.023,0.012,0.057,0.077,0.054,0.026,0.071,0.152,0.152,0.014
25,0.14,0.59,0.0826,0.004,0.015,0.012,0.019,0.026,0.026,0.026,0.012,0.032,0.054,0.039,0.037,0.074,0.11,0.11,0.035
25,0.39,0.59,0.2301,0.012,0.023,0.016,0.022,0.038,0.043,0.043,0.02,0.087,0.068,0.09,0.057,0.042,0.088,0.088,0.05
50,0,0,0,0,0.003,0,0.001,0.003,0.003,0.003,0.002,0,0.002,0,0.003,0.005,0.002,0.002,0
50,0,0.14,0,0,0.003,0.001,0.002,0.008,0.007,0.007,0.002,0.001,0.007,0,0.008,0.015,0.013,0.013,0.007
50,0,0.39,0,0.006,0.021,0.007,0.022,0.039,0.033,0.033,0.015,0.004,0.023,0.003,0.02,0.038,0.035,0.035,0.017
50,0,0.59,0,0.007,0.023,0.009,0.025,0.047,0.045,0.045,0.019,0.015,0.031,0.011,0.028,0.049,0.046,0.046,0.027
50,0.14,0.14,0.0196,0,0.003,0.001,0.004,0.013,0.007,0.007,0.002,0.04,0.04,0.035,0.009,0.05,0.172,0.172,0.003
50,0.39,0.39,0.1521,0.003,0.008,0.006,0.012,0.017,0.012,0.012,0.006,0.083,0.058,0.084,0.052,0.027,0.053,0.053,0.05
50,0.59,0.59,0.3481,0.012,0.022,0.017,0.021,0.025,0.031,0.031,0.019,0.06,0.04,0.061,0.038,0.027,0.027,0.027,0.033
50,0.14,0.39,0.0546,0.003,0.012,0.004,0.01,0.019,0.017,0.017,0.009,0.058,0.066,0.061,0.052,0.07,0.115,0.115,0.042
50,0.14,0.59,0.0826,0.015,0.027,0.018,0.031,0.043,0.039,0.039,0.024,0.037,0.043,0.036,0.041,0.049,0.085,0.085,0.034
50,0.39,0.59,0.2301,0.013,0.019,0.01,0.017,0.024,0.026,0.026,0.017,0.053,0.042,0.053,0.046,0.034,0.039,0.039,0.038
100,0,0,0,0,0,0,0,0.006,0.003,0.003,0,0.001,0.003,0.001,0.002,0.003,0.004,0.004,0.002
100,0,0.14,0,0,0.005,0.001,0.005,0.014,0.011,0.011,0.002,0.001,0.005,0.001,0.006,0.02,0.016,0.016,0.005
100,0,0.39,0,0.012,0.03,0.013,0.027,0.041,0.043,0.043,0.025,0.008,0.025,0.008,0.019,0.039,0.04,0.04,0.023
100,0,0.59,0,0.019,0.029,0.02,0.024,0.033,0.036,0.036,0.027,0.023,0.029,0.024,0.03,0.04,0.042,0.042,0.028
100,0.14,0.14,0.0196,0.004,0.006,0.002,0.008,0.019,0.019,0.019,0.005,0.096,0.099,0.094,0.032,0.065,0.181,0.181,0.023
100,0.39,0.39,0.1521,0.011,0.019,0.01,0.018,0.022,0.021,0.021,0.02,0.047,0.035,0.053,0.036,0.022,0.022,0.022,0.028
100,0.59,0.59,0.3481,0.016,0.027,0.024,0.032,0.035,0.034,0.034,0.028,0.042,0.032,0.046,0.033,0.022,0.021,0.021,0.031
100,0.14,0.39,0.0546,0.007,0.015,0.007,0.015,0.024,0.021,0.021,0.013,0.061,0.053,0.063,0.042,0.046,0.093,0.093,0.041
100,0.14,0.59,0.0826,0.008,0.014,0.008,0.014,0.017,0.018,0.018,0.013,0.04,0.038,0.04,0.04,0.043,0.055,0.055,0.032
100,0.39,0.59,0.2301,0.016,0.023,0.019,0.025,0.029,0.032,0.032,0.021,0.046,0.035,0.05,0.034,0.029,0.028,0.028,0.033
200,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.003,0.004,0.004,0.001
200,0,0.14,0,0.003,0.015,0.002,0.012,0.023,0.017,0.017,0.012,0.003,0.012,0.004,0.012,0.024,0.018,0.018,0.008
200,0,0.39,0,0.024,0.032,0.022,0.03,0.043,0.046,0.046,0.033,0.02,0.026,0.019,0.026,0.035,0.039,0.039,0.023
200,0,0.59,0,0.026,0.03,0.024,0.029,0.032,0.042,0.042,0.031,0.02,0.023,0.02,0.027,0.03,0.03,0.03,0.023
200,0.14,0.14,0.0196,0.004,0.012,0.004,0.01,0.015,0.015,0.015,0.01,0.09,0.065,0.09,0.042,0.032,0.103,0.103,0.047
200,0.39,0.39,0.1521,0.011,0.024,0.01,0.02,0.033,0.027,0.027,0.021,0.045,0.029,0.041,0.027,0.018,0.02,0.02,0.029
200,0.59,0.59,0.3481,0.012,0.017,0.016,0.024,0.026,0.027,0.027,0.02,0.042,0.026,0.038,0.032,0.027,0.024,0.024,0.023
200,0.14,0.39,0.0546,0.005,0.012,0.005,0.011,0.018,0.018,0.018,0.009,0.047,0.039,0.054,0.041,0.036,0.056,0.056,0.031
200,0.14,0.59,0.0826,0.017,0.02,0.015,0.019,0.023,0.029,0.029,0.02,0.022,0.021,0.025,0.022,0.021,0.026,0.026,0.022
200,0.39,0.59,0.2301,0.013,0.019,0.015,0.02,0.022,0.024,0.024,0.02,0.044,0.038,0.044,0.039,0.032,0.032,0.032,0.035
